setParameter: stringsAreCaseSensitive = true;


ilPred_ReadyToFly(worldilp2010Ex1neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex3neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex6neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex7neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex8neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex11neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex14neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex15neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex17neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex21neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex22neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex23neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex26neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex28neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex29neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex31neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex32neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex36neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex37neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex38neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex42neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex43neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex46neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex47neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex49neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex51neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex53neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex55neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex56neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex59neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex62neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex64neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex65neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex69neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex71neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex72neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex74neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex76neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex78neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex80neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex81neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex84neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex86neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex88neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex90neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex92neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex95neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex96neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex97neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex100neg, uav, iLBoolean_false, step0).
ilPred_ReadyToFly(worldilp2010Ex102neg, uav, iLBoolean_false, step0).
