advisedby(person265, person168).
advisedby(person381, person168).
advisedby(person176, person407).
advisedby(person272, person7).
advisedby(person37, person79).
advisedby(person353, person319).
advisedby(person432, person240).
advisedby(person239, person171).
advisedby(person13, person240).
advisedby(person286, person171).
advisedby(person418, person171).
advisedby(person14, person150).
advisedby(person320, person150).
advisedby(person352, person415).
advisedby(person352, person292).
advisedby(person276, person407).
advisedby(person45, person415).
advisedby(person45, person211).
advisedby(person148, person171).
advisedby(person314, person415).
advisedby(person275, person79).
advisedby(person21, person211).
advisedby(person262, person415).
advisedby(person262, person292).
advisedby(person257, person240).
advisedby(person380, person79).
advisedby(person384, person240).
advisedby(person384, person407).
advisedby(person266, person7).
advisedby(person312, person319).
advisedby(person208, person319).
advisedby(person63, person415).
advisedby(person318, person185).
advisedby(person318, person319).
advisedby(person83, person349).
